iter	Passed	Remaining
1711	40099	194127
1712	40121	194097
1713	40143	194067
1714	40168	194050
1715	40191	194025
1716	40213	193996
1717	40235	193965
1718	40267	193983
1719	40297	193988
1720	40320	193965
1721	40345	193950
1722	40378	193971
1723	40408	193981
1724	40438	193987
1725	40473	194020
1726	40495	193986
1727	40517	193959
1728	40538	193924
1729	40563	193907
1730	40587	193885
1731	40608	193850
1732	40629	193814
1733	40652	193790
1734	40675	193763
1735	40696	193731
1736	40718	193698
1737	40739	193665
1738	40760	193627
1739	40780	193591
1740	40800	193551
1741	40822	193522
1742	40847	193504
1743	40877	193510
1744	40903	193499
1745	40930	193492
1746	40950	193454
1747	40976	193444
1748	40997	193409
1749	41022	193390
1750	41044	193363
1751	41066	193333
1752	41089	193307
1753	41118	193309
1754	41137	193265
1755	41158	193227
1756	41180	193197
1757	41205	193181
1758	41229	193161
1759	41251	193134
1760	41273	193101
1761	41295	193073
1762	41316	193038
1763	41338	193007
1764	41361	192980
1765	41382	192948
1766	41409	192938
1767	41430	192902
1768	41452	192872
1769	41476	192852
1770	41497	192820
1771	41518	192785
1772	41540	192756
1773	41561	192722
1774	41584	192694
1775	41613	192695
1776	41637	192674
1777	41661	192653
1778	41692	192665
1779	41717	192649
1780	41740	192624
1781	41762	192594
1782	41779	192543
1783	41801	192512
1784	41822	192476
1785	41842	192438
1786	41866	192414
1787	41891	192400
1788	41912	192364
1789	41935	192338
1790	41959	192319
1791	41985	192307
1792	42007	192279
1793	42029	192250
1794	42050	192215
1795	42071	192181
1796	42107	192211
1797	42126	192169
1798	42148	192140
1799	42169	192103
1800	42191	192075
1801	42222	192085
1802	42253	192098
1803	42276	192072
1804	42300	192050
1805	42322	192021
1806	42345	191994
1807	42365	191958
1808	42395	191962
1809	42424	191965
1810	42451	191957
1811	42477	191943
1812	42501	191923
1813	42522	191888
1814	42543	191856
1815	42558	191793
1816	42579	191760
1817	42612	191778
1818	42634	191749
1819	42656	191721
1820	42681	191703
1821	42705	191682
1822	42728	191657
1823	42749	191621
1824	42772	191597
1825	42795	191569
1826	42823	191568
1827	42850	191559
1828	42872	191529
1829	42893	191499
1830	42914	191463
1831	42936	191431
1832	42967	191441
1833	42988	191407
1834	43011	191382
1835	43032	191349
1836	43053	191315
1837	43076	191291
1838	43102	191277
1839	43125	191250
1840	43147	191222
1841	43170	191195
1842	43191	191162
1843	43216	191145
1844	43240	191124
1845	43264	191103
1846	43286	191073
1847	43307	191042
1848	43330	191015
1849	43355	190998
1850	43376	190966
1851	43402	190950
1852	43427	190933
1853	43450	190908
1854	43472	190878
1855	43494	190849
1856	43518	190828
1857	43539	190797
1858	43566	190788
1859	43589	190763
1860	43611	190731
1861	43633	190705
1862	43654	190670
1863	43676	190638
1864	43699	190614
1865	43723	190593
1866	43745	190561
1867	43768	190537
1868	43788	190500
1869	43808	190462
1870	43837	190461
1871	43859	190431
1872	43879	190395
1873	43901	190363
1874	43930	190365
1875	43960	190369
1876	43982	190341
1877	44003	190307
1878	44027	190286
1879	44053	190272
1880	44073	190234
1881	44095	190204
1882	44115	190166
1883	44136	190131
1884	44158	190102
1885	44181	190080
1886	44221	190125
1887	44244	190103
1888	44270	190090
1889	44291	190056
1890	44314	190030
1891	44340	190019
1892	44362	189988
1893	44383	189952
1894	44404	189918
1895	44424	189881
1896	44444	189845
1897	44465	189810
1898	44490	189791
1899	44510	189756
1900	44531	189720
1901	44555	189700
1902	44577	189670
1903	44598	189638
1904	44618	189601
1905	44641	189574
1906	44663	189545
1907	44684	189512
1908	44705	189475
1909	44728	189450
1910	44754	189438
1911	44774	189400
1912	44795	189366
1913	44816	189335
1914	44838	189304
1915	44860	189273
1916	44882	189246
1917	44906	189225
1918	44930	189203
1919	44953	189181
1920	44979	189165
1921	45000	189132
1922	45023	189106
1923	45045	189079
1924	45066	189046
1925	45089	189018
1926	45109	188981
1927	45130	188950
1928	45153	188921
1929	45177	188901
1930	45202	188885
1931	45223	188850
1932	45260	188885
1933	45280	188847
1934	45304	188825
1935	45328	188806
1936	45351	188781
1937	45375	188759
1938	45402	188753
1939	45422	188715
1940	45445	188689
1941	45468	188665
1942	45492	188644
1943	45513	188608
1944	45533	188573
1945	45559	188560
1946	45581	188530
1947	45603	188502
1948	45624	188467
1949	45646	188437
1950	45667	188406
1951	45688	188371
1952	45709	188337
1953	45728	188297
1954	45749	188263
1955	45771	188232
1956	45794	188209
1957	45816	188178
1958	45838	188150
1959	45862	188131
1960	45883	188097
1961	45910	188089
1962	45934	188067
1963	45956	188036
1964	45980	188015
1965	46000	187981
1966	46023	187956
1967	46046	187928
1968	46071	187913
1969	46092	187878
1970	46113	187847
1971	46139	187831
1972	46169	187836
1973	46192	187810
1974	46213	187779
1975	46236	187754
1976	46255	187714
1977	46277	187682
1978	46298	187649
1979	46319	187615
1980	46346	187608
1981	46373	187599
1982	46394	187565
1983	46415	187535
1984	46437	187502
1985	46458	187472
1986	46483	187453
1987	46504	187422
1988	46526	187391
1989	46548	187363
1990	46571	187338
1991	46592	187305
1992	46614	187277
1993	46643	187276
1994	46665	187247
1995	46688	187220
1996	46707	187181
1997	46731	187160
1998	46759	187156
1999	46779	187116
2000	46801	187090
2001	46826	187073
2002	46852	187058
2003	46873	187024
2004	46896	187001
2005	46917	186966
2006	46938	186936
2007	46970	186947
2008	46991	186912
2009	47014	186888
2010	47036	186858
2011	47063	186851
2012	47089	186838
2013	47110	186803
2014	47130	186767
2015	47152	186740
2016	47177	186723
2017	47198	186689
2018	47222	186668
2019	47243	186636
2020	47268	186619
2021	47289	186585
2022	47311	186554
2023	47334	186531
2024	47354	186495
2025	47376	186466
2026	47400	186446
2027	47423	186420
2028	47447	186400
2029	47469	186371
2030	47491	186341
2031	47513	186313
2032	47537	186291
2033	47558	186257
2034	47578	186222
2035	47604	186208
2036	47622	186162
2037	47642	186127
2038	47676	186145
2039	47708	186157
2040	47731	186133
2041	47752	186099
2042	47773	186066
2043	47797	186047
2044	47819	186016
2045	47843	185994
2046	47864	185963
2047	47886	185936
2048	47904	185890
2049	47927	185864
2050	47955	185859
2051	47984	185856
2052	48008	185837
2053	48032	185815
2054	48051	185774
2055	48071	185740
2056	48091	185704
2057	48112	185670
2058	48136	185651
2059	48160	185628
2060	48189	185625
2061	48209	185591
2062	48231	185561
2063	48252	185527
2064	48272	185490
2065	48294	185463
2066	48317	185438
2067	48337	185401
2068	48357	185368
2069	48378	185334
2070	48401	185311
2071	48426	185293
2072	48448	185262
2073	48469	185231
2074	48495	185218
2075	48522	185208
2076	48542	185170
2077	48564	185144
2078	48586	185114
2079	48607	185082
2080	48629	185055
2081	48652	185028
2082	48673	184998
2083	48699	184982
2084	48722	184959
2085	48743	184927
2086	48767	184905
2087	48798	184912
2088	48822	184888
2089	48847	184873
2090	48872	184855
2091	48896	184833
2092	48919	184810
2093	48942	184783
2094	48963	184753
2095	48984	184721
2096	49008	184697
2097	49030	184670
2098	49054	184650
2099	49075	184619
2100	49096	184583
2101	49118	184555
2102	49139	184525
2103	49161	184497
2104	49182	184463
2105	49205	184437
2106	49225	184404
2107	49247	184375
2108	49268	184343
2109	49293	184324
2110	49314	184293
2111	49335	184261
2112	49360	184242
2113	49381	184212
2114	49404	184188
2115	49426	184156
2116	49451	184140
2117	49477	184126
2118	49500	184103
2119	49523	184076
2120	49545	184047
2121	49566	184017
2122	49587	183986
2123	49612	183968
2124	49634	183939
2125	49658	183919
2126	49682	183897
2127	49705	183873
2128	49737	183881
2129	49762	183864
2130	49783	183832
2131	49807	183812
2132	49828	183777
2133	49850	183751
2134	49873	183724
2135	49898	183709
